"You choose the moment which suits you best for the delivery by replying to the SMS (no extra cost) or through our website","Vous sélectionnez la date et le créneau horaire qui vous conviennent le mieux en répondant directement par SMS (prix d’un SMS standard) ou vous connectant sur l’Espace Destinataire disponible sur"
"On the day of delivery, a text message will precise you a 1-hour time window for the delivery.","Le jour de la livraison, vous recevez un SMS vous indiquant un créneau réduit à une heure."
"Get more info in this video ","Plus d'infos en vidéo "
"To get all the advantages of DPD Predict service, please provide a french mobile phone number here ","Bénéficiez dès maintenant des avantages de la livraison Predict en renseignant votre n° de mobile ici "
"It seems that the GSM number you provided is incorrect. Please provide a french GSM number, starting with 06 or 07, on 10 consecutive digits.","Le numéro de mobile renseigné semble incorrect. Merci de préciser un numéro de mobile français, commençant par 06 ou 07, sur 10 chiffres consécutifs."
"Enabled","Activé"
"Title","Titre"
"Subtitle","Sous-titre"
"URL MyPudo","URL Webservice DPD Relais"
"ID trader","ID Marchand"
"Security Key","Clé de sécurité"
"Your DPD Depot #","Votre n° d'agence DPD"
"Your DPD Relais contract #","Votre n° de contrat DPD Relais"
"Google Maps API Key","Clé API Google Maps"
"Shipping rates configuration","Gestion des frais de port"
"Display when unavailable","Afficher quand non disponible"
"Yes","Oui"
"No","Non"
"Displayed Error Message","Afficher le message d'erreur"
"Sort Order","Ordre de tri"

"Find DPD Pickup points near this address : ","Recherchez les relais Pickup autour de l'adresse suivante : "
"Your Pickup delivery by DPD","Livraison en relais Pickup par DPD"
"More details","Plus de détails"
"You have to choose an address for your shipping!","Vous devez choisir une adresse de livraison!"
"Your shopping cart is too heavy for being shipped in a Pickup point","Le poids de votre panier n'est pas compatible avec une livraison en relais Pickup"
"An error ocurred while fetching the DPD Pickup points. Please try again","DPD Relais est temporairement indisponible, merci de réessayer dans quelques instants."
"There are no DPD Pickup points for the selected adress. Please modify it.","Il n'y a pas de relais Pickup autour de l'adresse saisie. Merci de modifier votre adresse."
"The field Postal Code is mandatory!","Le champ Code Postal est obligatoire!"
"The field City is mandatory!","Le champ Ville est obligatoire!"

"Your DPD Pickup point","Votre relais Pickup"
"Method Name","Méthode de livraison"
"Distance in KM","Distance en km"
"DPD Pickup ID#","Identifiant relais"
"Opening hours","Horaires d'ouverture"
"More info","Informations"
"Closing period","Relais fermé le"
"info","Repère"
"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mercredi"
"Thursday","Jeudi"
"Friday","Vendredi"
"Saturday","Samedi"
"Sunday","Dimanche"
"Closed","Fermé"
"Attention, this DPD Pickup point will be unavailable from","Attention, ce relais Pickup ne sera pas disponible du"
"Jan","Janv"
"Feb","Fév"
"Mar","Mars"
"Apr","Avr"
"May","Mai"
"Jun","Juin"
"Jul","Juillet"
"Aug","Août"
"Sep","Sept"
"Oct","Oct"
"Nov","Nov"
"Dec","Déc"
